loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada,0.89,https://www.deliveryfort.com.br/batata-lavada/p,2026-01-07 19:34:09
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Benafrutti Bolinha 1kg,4.48,https://www.deliveryfort.com.br/batata-benafrutti-bolinha-1kg/p,2026-01-07 19:34:09
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada 1kg,4.48,https://www.deliveryfort.com.br/batata-lavada-1kg/p,2026-01-07 19:34:09
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada,0.89,https://www.deliveryfort.com.br/batata-lavada/p,2026-01-07 20:21:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Benafrutti Bolinha 1kg,4.48,https://www.deliveryfort.com.br/batata-benafrutti-bolinha-1kg/p,2026-01-07 20:21:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada 1kg,4.48,https://www.deliveryfort.com.br/batata-lavada-1kg/p,2026-01-07 20:21:01
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada,0.89,https://www.deliveryfort.com.br/batata-lavada/p,2026-01-07 23:29:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Benafrutti Bolinha 1kg,4.48,https://www.deliveryfort.com.br/batata-benafrutti-bolinha-1kg/p,2026-01-07 23:29:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada 1kg,4.48,https://www.deliveryfort.com.br/batata-lavada-1kg/p,2026-01-07 23:29:42
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Benafrutti Bolinha 1kg,4.48,https://www.deliveryfort.com.br/batata-benafrutti-bolinha-1kg/p,2026-01-08 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada 1kg,4.48,https://www.deliveryfort.com.br/batata-lavada-1kg/p,2026-01-08 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada,0.89,https://www.deliveryfort.com.br/batata-lavada/p,2026-01-08 23:19:35
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada,1.34,https://www.deliveryfort.com.br/batata-lavada/p,2026-01-09 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Benafrutti Bolinha 1kg,4.48,https://www.deliveryfort.com.br/batata-benafrutti-bolinha-1kg/p,2026-01-09 23:19:44
LOJA 810 - FLORIANÓPOLIS,88063-038,Batata,Batata Lavada 1kg,4.48,https://www.deliveryfort.com.br/batata-lavada-1kg/p,2026-01-09 23:19:44
