loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Melitta Tradicional Caixa 500g,34.99,https://www.deliveryfort.com.br/cafe-melitta-tradicional-caixa-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café 3 Corações Tradicional 500g,33.9,https://www.deliveryfort.com.br/cafe-3-coracoes-tradicional-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Bom Jesus Tradicional Vácuo 500g,32.95,https://www.deliveryfort.com.br/cafe-bom-jesus-tradicional-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Pilão Tradicional Vácuo 500g,32.89,https://www.deliveryfort.com.br/cafe-pilao-tradicional-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Caboclo Extra Forte Vácuo 500g,33.89,https://www.deliveryfort.com.br/cafe-caboclo-extra-forte-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Melitta Extra Forte Caixa 500g,34.99,https://www.deliveryfort.com.br/cafe-melitta-extra-forte-caixa-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Prima Qualità Superior Mister 500g,49.9,https://www.deliveryfort.com.br/cafe-prima-qualita-superior-mister-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Pilão Torrado a 252° Graus Vácuo 500g,32.89,https://www.deliveryfort.com.br/cafe-pilao-torrado-a-252°-graus-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Aviação Superior Vácuo 500g,49.05,https://www.deliveryfort.com.br/cafe-aviacao-superior-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Pilão Cafeteria Coado 500g,42.9,https://www.deliveryfort.com.br/cafe-pilao-cafeteria-coado-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Pilão Tradicional Doy Bag 500g,39.9,https://www.deliveryfort.com.br/cafe-pilao-tradicional-doy-bag-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Pilão Extra Forte Vácuo 500g,32.89,https://www.deliveryfort.com.br/cafe-pilao-extra-forte-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Melitta Especial Vácuo 500g,54.9,https://www.deliveryfort.com.br/cafe-melitta-especial-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Bom Jesus Extra Forte Vacúo 500g,32.95,https://www.deliveryfort.com.br/cafe-bom-jesus-extra-forte-vacuo-500g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café 3 Corações Gourmet Vácuo 250g,29.9,https://www.deliveryfort.com.br/cafe-3-coracoes-gourmet-vacuo-250g/p,2026-01-07 19:33:59
LOJA 810 - FLORIANÓPOLIS,88063-038,Café 500g,Café Do Ponto Exportação Vácuo 500g,38.65,https://www.deliveryfort.com.br/cafe-do-ponto-exportacao-vacuo-500g/p,2026-01-07 19:33:59
