loja,cep,categoria_bloco,nome_produto,preco,link_produto,data_coleta
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Sieme com 20 Unidades Extra,8.98,https://www.deliveryfort.com.br/ovos-vermelhos-sieme-com-20-unidades-extra/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Carminatti com 30 Unidades Grandes,13.98,https://www.deliveryfort.com.br/ovos-vermelhos-carminatti-com-30-unidades-grandes/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Caipira Free Lar com 20 Unidades Plastificado,17.99,https://www.deliveryfort.com.br/ovos-caipira-free-lar-com-20-unidades-plastificado/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Mantiqueira Happy Eggs Com 20 Unidades,15.98,https://www.deliveryfort.com.br/ovo-vermelho-mantiqueira-happy-eggs-com-20-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Mantiqueira Grande Com 30 Unidades,13.98,https://www.deliveryfort.com.br/ovo-vermelho-mantiqueira-grande-com-30-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Free Lar Caipira | Com 10 Unidades,10.98,https://www.deliveryfort.com.br/ovo-vermelho-free-lar-caipira---com-10-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Branco Mantiqueira Grande Com 30 Unidades,13.98,https://www.deliveryfort.com.br/ovo-branco-mantiqueira-grande-com-30-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovo Vermelho Free Lar Jumbo | Com 10 Unidades,10.98,https://www.deliveryfort.com.br/ovo-vermelho-free-lar-jumbo---com-10-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Mantiqueira Happy Eggys com 10 Unidades,8.98,https://www.deliveryfort.com.br/ovos-vermelhos-mantiqueira-happy-eggys-com-10-unidades/p,2026-01-07 19:34:12
LOJA 810 - FLORIANÓPOLIS,88063-038,Ovos,Ovos Vermelhos Mantiqueira Jumbo com 10 Unidades Polpa,7.48,https://www.deliveryfort.com.br/ovos-vermelhos-mantiqueira-jumbo-com-10-unidades-polpa/p,2026-01-07 19:34:12
